City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amaravati,2019-06-07,,,,,,,,,,,,,,
Chennai,2016-12-19,,,,,,,0.0,,,0.0,0.0,,,
Talcher,2019-05-03,,,,,,,,,,,,,,
Jorapokhar,2019-04-14,,,,,,,,,,,,,,
Mumbai,2015-04-26,,,,,24.48,,0.0,,,0.0,0.0,0.0,,
Kolkata,2018-05-03,,,2.61,23.42,23.51,14.04,0.0,,,3.19,5.13,,,
Jorapokhar,2018-08-23,,337.66,7.36,7.56,,2.17,0.0,,21.98,,,,,
Bengaluru,2015-03-17,,,8.19,23.77,18.53,10.24,0.88,9.33,49.4,1.4,1.2,,,
Jorapokhar,2018-05-24,,323.86,7.71,7.23,,,,26.22,16.08,,,,297.0,Poor
Jorapokhar,2019-04-20,,87.28,8.64,8.47,,7.14,0.02,20.56,9.31,,,,,
Lucknow,2016-07-06,131.35,,4.28,15.99,4.17,,1.24,8.52,9.4,0.0,,,,
Jorapokhar,2018-05-28,,268.46,7.37,7.87,,,,10.07,14.71,,,,260.0,Poor
Gurugram,2018-11-19,53.6,107.19,34.27,16.55,39.57,,1.06,4.14,26.35,,,,114.0,Moderate
Jorapokhar,2017-08-28,,98.57,7.72,9.35,,,1.47,10.08,18.24,,,,108.0,Moderate
Chennai,2015-02-16,,,12.61,13.74,19.26,46.66,1.42,12.89,41.73,,0.93,,,
Gurugram,2018-05-04,27.88,,1.91,6.22,7.67,,0.32,2.44,8.77,,,,,
Patna,2019-05-31,102.65,,24.39,61.49,30.39,,1.53,43.45,49.21,,,,252.0,Poor
Jorapokhar,2019-12-18,69.84,138.49,9.42,8.87,,,,42.41,23.97,,,,242.0,Poor
Talcher,2019-12-04,152.56,260.28,33.61,,24.67,,3.03,10.6,20.03,0.0,,,262.0,Poor
Bhopal,2019-10-31,77.11,115.3,16.09,59.7,54.77,31.04,1.23,5.86,58.36,,,,118.0,Moderate
Chennai,2017-01-04,28.4,,6.41,9.77,11.61,,0.03,3.12,16.59,0.1,0.0,,85.0,Satisfactory
Lucknow,2018-05-30,66.36,,6.36,26.72,28.5,12.58,1.83,7.83,18.26,0.0,,,196.0,Moderate
Patna,2017-01-12,166.38,,37.56,20.34,64.78,,0.96,2.71,16.92,0.25,1.8,0.38,330.0,Very Poor
Mumbai,2015-01-19,62.29,94.24,10.67,5.9,16.39,18.49,3.56,10.48,15.22,1.99,,,154.0,Moderate
Chennai,2017-07-10,80.42,,15.43,10.57,14.74,,0.15,8.14,23.86,0.24,0.19,,126.0,Moderate
Lucknow,2017-08-11,24.73,,10.95,13.09,,,1.83,7.09,8.16,0.12,0.44,,69.0,Satisfactory
Delhi,2018-04-11,61.5,141.47,13.43,45.05,35.7,24.14,1.08,7.95,41.38,2.78,11.14,0.19,159.0,Moderate
Patna,2015-04-26,77.37,,89.39,30.1,161.15,,0.75,2.59,24.64,0.6,4.57,1.19,148.0,Moderate
Bengaluru,2016-09-13,18.56,,2.65,15.4,13.57,,0.81,2.12,14.98,0.59,0.45,,71.0,Satisfactory
Gurugram,2016-08-09,28.35,,,,,,0.45,2.24,9.54,,,,56.0,Satisfactory
Hyderabad,2015-03-10,,,4.83,12.87,17.95,,0.22,4.23,10.16,0.43,5.29,0.77,,
Gurugram,2016-07-02,41.93,,8.07,10.96,6.76,,0.32,1.83,16.28,,,,189.0,Moderate
Chennai,2015-08-24,103.58,,3.17,20.31,10.83,45.71,1.47,3.82,34.95,,,,215.0,Poor
Gurugram,2016-12-10,61.5,,2.18,10.54,3.75,,0.26,3.04,16.14,,,,106.0,Moderate
Gurugram,2019-07-04,48.28,,12.3,25.27,22.03,,1.31,4.51,47.41,0.57,,,101.0,Moderate
Gurugram,2017-05-05,155.56,,3.31,20.61,9.64,,0.93,0.37,33.85,,,,1374.0,Severe
Chennai,2019-05-04,74.57,,4.95,9.12,11.89,81.6,1.29,3.94,16.94,0.23,4.19,,114.0,Moderate
Lucknow,2020-01-19,157.04,,15.85,46.49,37.47,43.31,1.37,9.14,25.84,0.69,1.73,,287.0,Poor
Amritsar,2019-08-11,58.18,110.89,16.95,9.3,19.34,25.13,0.4,14.95,22.6,1.12,2.63,2.0,120.0,Moderate
Amaravati,2020-05-17,80.48,132.35,3.4,9.97,6.88,18.3,0.79,11.38,32.52,0.06,1.46,0.1,127.0,Moderate
Bengaluru,2019-10-26,48.51,106.77,13.18,35.12,33.49,53.81,1.19,6.84,32.88,1.03,2.17,,112.0,Moderate
Lucknow,2017-03-02,115.39,,11.74,46.56,,,0.99,10.66,34.54,0.95,0.87,,271.0,Poor
Patna,2015-09-28,52.23,,11.54,13.0,12.75,,1.97,17.67,36.35,0.73,2.44,2.18,125.0,Moderate
Patna,2020-04-12,34.51,,,,23.67,,1.08,7.02,33.61,0.11,0.61,0.27,60.0,Satisfactory
Chennai,2018-10-06,61.57,,11.8,23.95,13.13,17.1,1.07,10.08,24.21,,,,66.0,Satisfactory
Bhopal,2020-02-25,81.32,168.71,12.13,46.63,43.25,19.41,0.88,12.34,19.71,,,,193.0,Moderate
Hyderabad,2017-03-22,50.36,,8.07,39.54,24.48,42.53,0.5,7.59,18.6,0.99,3.65,0.77,75.0,Satisfactory
Thiruvananthapuram,2020-02-13,29.66,97.09,1.04,5.7,2.38,5.41,0.92,5.52,50.46,,,,126.0,Moderate
Hyderabad,2019-11-08,58.93,115.41,6.17,12.18,15.05,20.88,1.07,5.9,27.76,1.37,9.4,3.51,175.0,Moderate
Bengaluru,2018-10-21,48.23,119.53,11.73,33.04,35.8,14.93,0.93,5.78,22.02,0.42,1.67,,99.0,Satisfactory
Chennai,2016-09-03,51.11,,5.48,11.21,10.06,55.89,1.65,4.33,33.91,0.01,0.0,,97.0,Satisfactory
Amaravati,2019-05-20,22.69,31.08,1.11,12.37,6.95,1.49,0.45,14.95,28.08,0.07,0.42,,58.0,Satisfactory
Delhi,2018-10-10,54.03,114.11,23.23,33.56,43.16,12.79,0.72,8.01,23.62,2.25,24.07,0.08,152.0,Moderate
Chandigarh,2019-04-19,14.11,78.09,3.04,9.77,8.55,4.8,0.7,11.0,7.75,16.98,1.99,6.73,81.0,Satisfactory
Amaravati,2020-06-04,14.24,47.13,8.41,14.82,17.09,14.04,0.54,18.49,1.1,1.18,4.04,0.14,40.0,Good
Lucknow,2019-06-26,27.5,,9.23,25.35,19.72,14.29,0.63,6.72,49.12,0.21,0.41,,68.0,Satisfactory
Patna,2019-11-07,164.5,,60.12,87.01,67.54,,1.28,18.72,42.84,4.44,31.89,15.01,405.0,Severe
Chennai,2018-01-09,80.12,,8.96,11.83,13.72,76.99,0.91,5.57,25.61,0.0,0.43,,181.0,Moderate
Amritsar,2018-08-19,49.82,110.84,10.37,28.08,,64.36,0.72,3.83,11.09,0.78,2.85,28.63,,
Gurugram,2019-06-25,21.66,76.52,5.29,14.79,10.8,16.63,0.73,2.08,46.99,1.42,,,114.0,Moderate
Chennai,2017-01-06,57.75,,9.47,31.96,20.34,,0.05,3.84,26.42,0.17,0.4,,95.0,Satisfactory
Hyderabad,2015-09-07,86.76,,8.54,10.31,17.84,,0.93,7.65,8.36,0.04,0.34,1.2,152.0,Moderate
Delhi,2019-05-21,24.27,50.51,5.44,28.41,24.17,,0.14,11.31,13.63,0.51,3.95,,104.0,Moderate
Lucknow,2018-11-08,124.18,,12.28,46.18,28.64,22.65,1.54,9.93,35.35,0.9,1.46,,271.0,Poor
Mumbai,2019-03-13,50.61,99.56,14.76,34.77,42.73,10.42,0.56,8.96,30.13,2.95,,,101.0,Moderate
Chennai,2016-06-25,33.81,,6.01,17.22,20.84,100.76,1.0,4.87,16.96,0.2,0.76,,80.0,Satisfactory
Lucknow,2020-01-01,40.0,,34.26,47.71,48.26,39.45,0.2,11.45,27.94,0.0,0.0,,326.0,Very Poor
Amritsar,2020-03-31,30.15,83.7,20.94,24.34,,20.29,,5.83,42.79,0.74,0.2,,87.0,Satisfactory
Hyderabad,2018-01-11,62.61,168.98,7.04,45.62,26.63,33.61,0.71,19.14,42.37,1.8,15.89,,149.0,Moderate
Brajrajnagar,2018-06-24,28.17,88.1,16.89,20.84,33.16,13.75,0.22,8.01,22.18,0.04,,,108.0,Moderate
Chennai,2018-05-25,39.28,73.9,6.68,10.88,14.77,6.49,0.4,5.18,34.74,0.16,0.1,,,
Bengaluru,2015-07-27,10.42,81.21,2.91,11.2,10.57,28.13,1.74,3.05,33.96,0.85,1.24,,,
Patna,2020-03-23,27.08,,13.8,33.54,6.17,,0.93,40.71,44.96,0.21,1.75,0.64,103.0,Moderate
Mumbai,2016-06-05,33.7,80.19,29.14,26.51,52.93,,1.38,10.63,29.84,0.85,,,109.0,Moderate
Amaravati,2019-05-27,30.56,56.91,3.7,9.09,8.83,18.23,0.61,9.55,52.36,0.78,3.85,0.12,87.0,Satisfactory
Delhi,2019-11-02,43.59,70.42,12.53,27.7,18.86,17.87,0.58,10.16,20.97,1.86,7.69,0.1,80.0,Satisfactory
Visakhapatnam,2019-05-10,40.94,99.77,10.7,30.35,21.0,6.23,1.3,5.24,64.1,4.23,5.46,2.4,121.0,Moderate
Thiruvananthapuram,2019-10-17,5.64,27.98,1.2,4.87,4.44,1.07,0.84,8.13,19.6,,,,98.0,Satisfactory
Ahmedabad,2019-01-14,88.96,,72.3,134.94,70.36,,48.02,67.27,54.61,3.94,16.02,0.65,837.0,Severe
Delhi,2017-02-24,143.91,195.59,33.78,47.33,61.07,20.02,1.07,18.9,43.73,8.35,12.28,3.05,324.0,Very Poor
Kolkata,2019-09-13,24.49,68.64,5.5,33.81,41.14,11.26,1.31,6.15,43.6,18.89,24.36,1.14,91.0,Satisfactory
Thiruvananthapuram,2017-03-07,17.4,31.16,1.74,4.94,3.77,3.45,0.97,8.22,34.13,,,,54.0,Satisfactory
Lucknow,2019-11-12,199.25,,39.29,56.56,45.26,35.06,1.97,9.19,19.66,0.57,1.93,,375.0,Very Poor
Chennai,2015-04-16,96.47,,11.57,21.83,26.23,34.41,0.78,7.03,61.54,0.06,0.82,,239.0,Poor
Chennai,2016-08-04,28.42,,4.34,12.69,8.58,,0.11,12.68,9.45,0.01,0.0,,131.0,Moderate
Chennai,2015-06-26,34.79,,2.99,12.68,11.41,40.81,0.9,2.16,31.9,0.77,3.95,,124.0,Moderate
Lucknow,2016-10-25,101.93,,12.19,75.37,,,1.35,6.81,18.86,1.73,7.28,,282.0,Poor
Thiruvananthapuram,2018-04-04,68.4,120.32,,,0.13,10.71,0.83,1.85,22.0,,,,189.0,Moderate
Lucknow,2018-09-27,46.12,,9.55,70.51,29.75,44.56,1.0,14.7,19.52,1.12,4.39,,119.0,Moderate
Lucknow,2020-04-19,57.43,,7.58,26.01,20.36,13.69,1.07,5.74,32.42,2.41,2.86,,105.0,Moderate
Amritsar,2019-05-05,25.33,64.95,7.85,12.17,20.1,13.82,0.3,9.86,46.8,1.59,3.1,2.0,86.0,Satisfactory
Thiruvananthapuram,2019-08-01,11.75,11.37,1.14,4.54,2.21,31.55,1.03,1.31,18.44,,,,20.0,Good
Ahmedabad,2016-08-07,,,,,,,,,,,,,,
Ahmedabad,2016-09-16,,,,,,,,,,,,,,
Patna,2017-11-26,50.99,,8.92,15.21,25.54,,0.89,4.6,14.85,0.25,1.1,0.66,,
Jorapokhar,2015-08-04,,98.18,6.71,7.28,,32.49,1.87,5.66,19.6,,,,232.0,Poor
Chennai,2019-09-30,31.41,34.52,9.22,10.15,15.48,47.41,0.72,6.0,27.84,0.46,0.34,,76.0,Satisfactory
Ahmedabad,2018-10-25,98.1,,28.77,80.4,47.26,,23.59,52.95,34.2,3.94,16.01,0.65,1147.0,Severe
