City,Date,WP1,WP2,N1,N2,N3,N4,Carbon,Ozone,Sulpher,OC1,IN1,OC2,IN2,SI
Amaravati,07/06/2019,,,,,,,,,,,,,0.96,
Chennai,19/12/2016,,,,,,,0,,,0,,0,1.96,
Talcher,03/05/2019,,,,,,,,,,,,,2.96,
Jorapokhar,14/04/2019,,,,,,,,,,,,,3.96,
Mumbai,26/04/2015,,,,,24.48,,0,,,0,0,0,4.96,
Kolkata,03/05/2018,,,2.61,23.42,23.51,14.04,0,,,5.13,,3.19,5.96,
Jorapokhar,23/08/2018,,337.66,7.36,7.56,,2.17,0,21.98,,,,,6.96,
Bengaluru,17/03/2015,,,8.19,23.77,18.53,10.24,0.88,49.4,9.33,1.2,,1.4,7.96,
Jorapokhar,24/05/2018,,323.86,7.71,7.23,,,,16.08,26.22,,,,8.96,297
Jorapokhar,20/04/2019,,87.28,8.64,8.47,,7.14,0.02,9.31,20.56,,,,9.96,
Lucknow,06/07/2016,131.35,,4.28,15.99,4.17,,1.24,9.4,8.52,,,0,10.96,
Jorapokhar,28/05/2018,,268.46,7.37,7.87,,,,14.71,10.07,,,,11.96,260
Gurugram,19/11/2018,53.6,107.19,34.27,16.55,39.57,,1.06,26.35,4.14,,,,12.96,114
Jorapokhar,28/08/2017,,98.57,7.72,9.35,,,1.47,18.24,10.08,,,,13.96,108
Chennai,16/02/2015,,,12.61,13.74,19.26,46.66,1.42,41.73,12.89,0.93,,,14.96,
Gurugram,04/05/2018,27.88,,1.91,6.22,7.67,,0.32,8.77,2.44,,,,15.96,
Patna,31/05/2019,102.65,,24.39,61.49,30.39,,1.53,49.21,43.45,,,,16.96,252
Jorapokhar,18/12/2019,69.84,138.49,9.42,8.87,,,,23.97,42.41,,,,17.96,242
Talcher,04/12/2019,152.56,260.28,33.61,,24.67,,3.03,20.03,10.6,,,0,18.96,262
Bhopal,31/10/2019,77.11,115.3,16.09,59.7,54.77,31.04,1.23,58.36,5.86,,,,19.96,118
Chennai,04/01/2017,28.4,,6.41,9.77,11.61,,0.03,16.59,3.12,0,,0.1,20.96,85
Lucknow,30/05/2018,66.36,,6.36,26.72,28.5,12.58,1.83,18.26,7.83,,,0,21.96,196
Patna,12/01/2017,166.38,,37.56,20.34,64.78,,0.96,16.92,2.71,1.8,0.38,0.25,22.96,330
Mumbai,19/01/2015,62.29,94.24,10.67,5.9,16.39,18.49,3.56,15.22,10.48,,,1.99,23.96,154
Chennai,10/07/2017,80.42,,15.43,10.57,14.74,,0.15,23.86,8.14,0.19,,0.24,24.96,126
Lucknow,11/08/2017,24.73,,10.95,13.09,,,1.83,8.16,7.09,0.44,,0.12,25.96,69
Delhi,11/04/2018,61.5,141.47,13.43,45.05,35.7,24.14,1.08,41.38,7.95,11.14,0.19,2.78,26.96,159
Patna,26/04/2015,77.37,,89.39,30.1,161.15,,0.75,24.64,2.59,4.57,1.19,0.6,27.96,148
Bengaluru,13/09/2016,18.56,,2.65,15.4,13.57,,0.81,14.98,2.12,0.45,,0.59,28.96,71
Gurugram,09/08/2016,28.35,,,,,,0.45,9.54,2.24,,,,29.96,56
Hyderabad,10/03/2015,,,4.83,12.87,17.95,,0.22,10.16,4.23,5.29,0.77,0.43,30.96,
Gurugram,02/07/2016,41.93,,8.07,10.96,6.76,,0.32,16.28,1.83,,,,31.96,189
Chennai,24/08/2015,103.58,,3.17,20.31,10.83,45.71,1.47,34.95,3.82,,,,32.96,215
Gurugram,10/12/2016,61.5,,2.18,10.54,3.75,,0.26,16.14,3.04,,,,33.96,106
Gurugram,04/07/2019,48.28,,12.3,25.27,22.03,,1.31,47.41,4.51,,,0.57,34.96,101
Gurugram,05/05/2017,155.56,,3.31,20.61,9.64,,0.93,33.85,0.37,,,,35.96,1374
Chennai,04/05/2019,74.57,,4.95,9.12,11.89,81.6,1.29,16.94,3.94,4.19,,0.23,36.96,114
Lucknow,19/01/2020,157.04,,15.85,46.49,37.47,43.31,1.37,25.84,9.14,1.73,,0.69,37.96,287
Amritsar,11/08/2019,58.18,110.89,16.95,9.3,19.34,25.13,0.4,22.6,14.95,2.63,2,1.12,38.96,120
Amaravati,17/05/2020,80.48,132.35,3.4,9.97,6.88,18.3,0.79,32.52,11.38,1.46,0.1,0.06,39.96,127
Bengaluru,26/10/2019,48.51,106.77,13.18,35.12,33.49,53.81,1.19,32.88,6.84,2.17,,1.03,40.96,112
Lucknow,02/03/2017,115.39,,11.74,46.56,,,0.99,34.54,10.66,0.87,,0.95,41.96,271
Patna,28/09/2015,52.23,,11.54,13,12.75,,1.97,36.35,17.67,2.44,2.18,0.73,42.96,125
Patna,12/04/2020,34.51,,,,23.67,,1.08,33.61,7.02,0.61,0.27,0.11,43.96,60
Chennai,06/10/2018,61.57,,11.8,23.95,13.13,17.1,1.07,24.21,10.08,,,,44.96,66
Bhopal,25/02/2020,81.32,168.71,12.13,46.63,43.25,19.41,0.88,19.71,12.34,,,,45.96,193
Hyderabad,22/03/2017,50.36,,8.07,39.54,24.48,42.53,0.5,18.6,7.59,3.65,0.77,0.99,46.96,75
Thiruvananthapuram,13/02/2020,29.66,97.09,1.04,5.7,2.38,5.41,0.92,50.46,5.52,,,,47.96,126
Hyderabad,08/11/2019,58.93,115.41,6.17,12.18,15.05,20.88,1.07,27.76,5.9,9.4,3.51,1.37,48.96,175
Bengaluru,21/10/2018,48.23,119.53,11.73,33.04,35.8,14.93,0.93,22.02,5.78,1.67,,0.42,49.96,99
Chennai,03/09/2016,51.11,,5.48,11.21,10.06,55.89,1.65,33.91,4.33,0,,0.01,50.96,97
Amaravati,20/05/2019,22.69,31.08,1.11,12.37,6.95,1.49,0.45,28.08,14.95,0.42,,0.07,51.96,58
Delhi,10/10/2018,54.03,114.11,23.23,33.56,43.16,12.79,0.72,23.62,8.01,24.07,0.08,2.25,52.96,152
Chandigarh,19/04/2019,14.11,78.09,3.04,9.77,8.55,4.8,0.7,7.75,11,1.99,6.73,16.98,53.96,81
Amaravati,04/06/2020,14.24,47.13,8.41,14.82,17.09,14.04,0.54,1.1,18.49,4.04,0.14,1.18,54.96,40
Lucknow,26/06/2019,27.5,,9.23,25.35,19.72,14.29,0.63,49.12,6.72,0.41,,0.21,55.96,68
Patna,07/11/2019,164.5,,60.12,87.01,67.54,,1.28,42.84,18.72,31.89,15.01,4.44,56.96,405
Chennai,09/01/2018,80.12,,8.96,11.83,13.72,76.99,0.91,25.61,5.57,0.43,,0,57.96,181
Amritsar,19/08/2018,49.82,110.84,10.37,28.08,,64.36,0.72,11.09,3.83,2.85,28.63,0.78,58.96,
Gurugram,25/06/2019,21.66,76.52,5.29,14.79,10.8,16.63,0.73,46.99,2.08,,,1.42,59.96,114
Chennai,06/01/2017,57.75,,9.47,31.96,20.34,,0.05,26.42,3.84,0.4,,0.17,60.96,95
Hyderabad,07/09/2015,86.76,,8.54,10.31,17.84,,0.93,8.36,7.65,0.34,1.2,0.04,61.96,152
Delhi,21/05/2019,24.27,50.51,5.44,28.41,24.17,,0.14,13.63,11.31,3.95,,0.51,62.96,104
Lucknow,08/11/2018,124.18,,12.28,46.18,28.64,22.65,1.54,35.35,9.93,1.46,,0.9,63.96,271
Mumbai,13/03/2019,50.61,99.56,14.76,34.77,42.73,10.42,0.56,30.13,8.96,,,2.95,64.96,101
Chennai,25/06/2016,33.81,,6.01,17.22,20.84,100.76,1,16.96,4.87,0.76,,0.2,65.96,80
Lucknow,01/01/2020,40,,34.26,47.71,48.26,39.45,0.2,27.94,11.45,0,,0,66.96,326
Amritsar,31/03/2020,30.15,83.7,20.94,24.34,,20.29,,42.79,5.83,0.2,,0.74,67.96,87
Hyderabad,11/01/2018,62.61,168.98,7.04,45.62,26.63,33.61,0.71,42.37,19.14,15.89,,1.8,68.96,149
Brajrajnagar,24/06/2018,28.17,88.1,16.89,20.84,33.16,13.75,0.22,22.18,8.01,,,0.04,69.96,108
Chennai,25/05/2018,39.28,73.9,6.68,10.88,14.77,6.49,0.4,34.74,5.18,0.1,,0.16,70.96,
Bengaluru,27/07/2015,10.42,81.21,2.91,11.2,10.57,28.13,1.74,33.96,3.05,1.24,,0.85,71.96,
Patna,23/03/2020,27.08,,13.8,33.54,6.17,,0.93,44.96,40.71,1.75,0.64,0.21,72.96,103
Mumbai,05/06/2016,33.7,80.19,29.14,26.51,52.93,,1.38,29.84,10.63,,,0.85,73.96,109
Amaravati,27/05/2019,30.56,56.91,3.7,9.09,8.83,18.23,0.61,52.36,9.55,3.85,0.12,0.78,74.96,87
Delhi,02/11/2019,43.59,70.42,12.53,27.7,18.86,17.87,0.58,20.97,10.16,7.69,0.1,1.86,75.96,80
Visakhapatnam,10/05/2019,40.94,99.77,10.7,30.35,21,6.23,1.3,64.1,5.24,5.46,2.4,4.23,76.96,121
Thiruvananthapuram,17/10/2019,5.64,27.98,1.2,4.87,4.44,1.07,0.84,19.6,8.13,,,,77.96,98
Ahmedabad,14/01/2019,88.96,,72.3,134.94,70.36,,48.02,54.61,67.27,16.02,0.65,3.94,78.96,837
Delhi,24/02/2017,143.91,195.59,33.78,47.33,61.07,20.02,1.07,43.73,18.9,12.28,3.05,8.35,79.96,324
Kolkata,13/09/2019,24.49,68.64,5.5,33.81,41.14,11.26,1.31,43.6,6.15,24.36,1.14,18.89,80.96,91
Thiruvananthapuram,07/03/2017,17.4,31.16,1.74,4.94,3.77,3.45,0.97,34.13,8.22,,,,81.96,54
Lucknow,12/11/2019,199.25,,39.29,56.56,45.26,35.06,1.97,19.66,9.19,1.93,,0.57,82.96,375
Chennai,16/04/2015,96.47,,11.57,21.83,26.23,34.41,0.78,61.54,7.03,0.82,,0.06,83.96,239
Chennai,04/08/2016,28.42,,4.34,12.69,8.58,,0.11,9.45,12.68,0,,0.01,84.96,131
Chennai,26/06/2015,34.79,,2.99,12.68,11.41,40.81,0.9,31.9,2.16,3.95,,0.77,85.96,124
Lucknow,25/10/2016,101.93,,12.19,75.37,,,1.35,18.86,6.81,7.28,,1.73,86.96,282
Thiruvananthapuram,04/04/2018,68.4,120.32,,,0.13,10.71,0.83,22,1.85,,,,87.96,189
Lucknow,27/09/2018,46.12,,9.55,70.51,29.75,44.56,1,19.52,14.7,4.39,,1.12,88.96,119
Lucknow,19/04/2020,57.43,,7.58,26.01,20.36,13.69,1.07,32.42,5.74,2.86,,2.41,89.96,105
Amritsar,05/05/2019,25.33,64.95,7.85,12.17,20.1,13.82,0.3,46.8,9.86,3.1,2,1.59,90.96,86
Thiruvananthapuram,01/08/2019,11.75,11.37,1.14,4.54,2.21,31.55,1.03,18.44,1.31,,,,91.96,20
Ahmedabad,07/08/2016,,,,,,,,,,,,,92.96,
Ahmedabad,16/09/2016,,,,,,,,,,,,,93.96,
Patna,26/11/2017,50.99,,8.92,15.21,25.54,,0.89,14.85,4.6,1.1,0.66,0.25,94.96,
Jorapokhar,04/08/2015,,98.18,6.71,7.28,,32.49,1.87,19.6,5.66,,,,95.96,232
Chennai,30/09/2019,31.41,34.52,9.22,10.15,15.48,47.41,0.72,27.84,6,0.34,,0.46,96.96,76
Ahmedabad,25/10/2018,98.1,,28.77,80.4,47.26,,23.59,34.2,52.95,16.01,0.65,3.94,97.96,1147
Amritsar,11/03/2020,48.64,102.02,12.88,9.44,22.15,8.84,0.64,0.54,5.78,1.1,8.81,1.3,98.96,131
Hyderabad,09/04/2020,19.54,60.69,4.24,17.41,12.75,33.56,0.5,43.29,5.5,3.4,0.05,0.97,99.96,54
Visakhapatnam,23/09/2019,11.39,30.53,9.6,42.2,26.08,37.62,0.8,12.64,20.76,11.22,1.27,4.43,100.96,74
Hyderabad,13/09/2019,43.05,88.36,5.31,44.81,19.02,12.68,0.71,12.38,4.16,4.53,1.95,1.07,101.96,106
Thiruvananthapuram,02/06/2018,53.42,76.37,5.57,5.2,6.99,,1.17,16.49,7.65,,,,102.96,82
Hyderabad,07/09/2017,16.68,39.08,18.29,17.59,6.2,14.04,0.12,36.2,5.36,15.91,1.38,1.11,103.96,60
Chennai,12/06/2017,45.06,,5.54,11.62,7.07,,0,7.74,3.67,0.09,,0.04,104.96,79
Chennai,14/01/2018,78.57,,11.65,22.17,23.9,6.65,0.75,20.89,6.24,0.07,,0.09,105.96,155
Patna,11/02/2017,135.45,,18.48,31.18,40.51,,0.95,30.68,10.82,0.58,0.12,0.12,106.96,356
Amritsar,21/04/2019,47.7,80.28,11.41,6.65,18.52,6.99,0.87,12.33,4.49,7.71,7.07,11.97,107.96,
Bengaluru,26/07/2016,54.75,201.83,4.33,46.47,23.6,31.3,0.9,48.14,4.55,0.15,,0,108.96,143
Jaipur,11/04/2020,48.06,113.72,5.12,17.65,16.32,37.23,0.52,41.9,9,24.32,,0.18,109.96,119
Hyderabad,09/04/2015,46.91,,5.23,12.75,17.12,,0.66,21.17,4.5,1.43,0.13,0.52,110.96,157
Chennai,21/05/2020,77.43,,4.83,9.27,15.04,32.75,0.85,42.37,14.26,0.7,,0.06,111.96,150
Mumbai,12/01/2018,56.88,232.79,70.34,59.51,101.91,,3.13,40.02,11.98,,,7.43,112.96,171
Amritsar,26/11/2019,70.06,114.51,14.98,14.27,20.79,16.21,1.66,40.56,16.63,7.29,4.08,4.88,113.96,120
Ahmedabad,24/05/2020,24.86,90.66,3.45,15.76,9.64,,0.72,7.56,,16.88,1.74,7.67,114.96,95
Hyderabad,14/10/2019,27.98,52.82,5.31,27.82,18.56,7.81,0.43,17.22,4.15,0.54,0.09,0.1,115.96,53
Delhi,17/11/2018,92.19,247.11,336,98.12,195.94,,2.71,38.16,20.24,61.15,1.35,6.14,116.96,300
Gurugram,09/01/2017,241.9,,8.42,13.47,,,0.76,3.19,14.96,3.89,,0.03,117.96,387
Patna,04/02/2016,230.22,,20.01,36.61,87.04,,1.57,17.33,5.12,1.43,0.9,0.42,118.96,326
Amaravati,13/04/2020,13.36,76.5,2.95,18.84,8.54,16.34,0.8,77.45,12.27,0.12,0.1,0.12,119.96,114
