Id,SI
16001,338.0
16002,99.0
16003,268.0
16004,112.0
16005,100.0
16006,131.0
16007,214.0
16008,112.0
16009,54.0
16010,73.0
16011,117.0
16012,76.0
16013,80.0
16014,236.0
16015,379.0
16016,80.0
16017,87.0
16018,95.0
16019,320.0
16020,67.0
16021,340.0
16022,46.0
16023,94.0
16024,73.0
16025,84.0
16026,47.0
16027,358.0
16028,87.0
16029,97.0
16030,51.0
16031,105.0
16032,112.0
16033,39.0
16034,101.0
16035,165.0
16036,81.0
16037,62.0
16038,112.0
16039,112.0
16040,112.0
16041,391.0
16042,217.0
16043,93.0
16044,404.0
16045,92.0
16046,112.0
16047,58.0
16048,237.0
16049,95.0
16050,45.0
16051,283.0
16052,82.0
16053,112.0
16054,107.0
16055,366.0
16056,76.0
16057,92.0
16058,93.0
16059,112.0
16060,120.0
16061,56.0
16062,48.0
16063,300.0
16064,63.0
16065,152.0
16066,64.0
16067,90.0
16068,110.0
16069,77.0
16070,416.0
16071,81.0
16072,164.0
16073,54.0
16074,157.0
16075,100.0
16076,425.0
16077,202.0
16078,119.0
16079,78.0
16080,104.0
16081,92.0
16082,74.0
16083,302.0
16084,138.0
16085,100.0
16086,78.0
16087,130.0
16088,124.0
16089,96.0
16090,112.0
16091,325.0
16092,55.0
16093,70.0
16094,106.0
16095,113.0
16096,127.0
16097,120.0
16098,327.0
16099,365.0
16100,116.0
16101,99.0
16102,203.0
16103,166.0
16104,112.0
16105,392.0
16106,112.0
16107,97.0
16108,152.0
16109,71.0
16110,32.0
16111,81.0
16112,329.0
16113,328.0
16114,66.0
16115,93.0
16116,169.0
16117,76.0
16118,103.0
16119,87.0
16120,284.0
16121,219.0
16122,213.0
16123,149.0
16124,112.0
16125,71.0
16126,135.0
16127,442.0
16128,112.0
16129,116.0
16130,364.0
16131,61.0
16132,359.0
16133,148.0
16134,391.0
16135,96.0
16136,164.0
16137,78.0
16138,64.0
16139,76.0
16140,112.0
16141,62.0
16142,132.0
16143,257.0
16144,149.0
16145,108.0
16146,47.0
16147,202.0
16148,77.0
16149,112.0
16150,104.0
16151,263.0
16152,56.0
16153,47.0
16154,1175.0
16155,302.0
16156,85.0
