WP,City,Date,WP1,WP2,N1,N2,N3,N4,Carbon,Ozone,Sulpher,OC1,IN1,OC2,IN2,SI
1,LosAngeles,02-12-2015,,,1.99,12.6,20.99,,0.26,37.78,4.99,2.32,1.8,0.77,17815.96,112
2,Bakersfield,03-06-2018,37.57,103.65,11.61,27.6,35.45,,1.18,55.73,15.08,,,0.49,18370.96,107
3,Shreveport,18-11-2019,75.41,137.06,3.97,16.67,11.05,,11.59,23.68,74.52,14.68,2.52,17.18,1379.96,173
4,Camden,06-08-2017,73.86,,8.47,25.58,,,0.6,40.06,7.05,0,,0,14763.96,392
5,Mexico,06-02-2020,23.58,43.8,2.18,8.04,7.55,1.36,0.58,32.57,8.3,2.78,0.11,0.05,7346.96,61
6,NewYork,04-06-2020,55.9,108.46,20.59,14.34,,51.27,0,37.56,3.49,0.76,0.31,5.95,6492.96,139
7,NewYork,17-01-2020,94.96,234.24,5.25,20,29.34,14.64,0,13.12,1.65,1.66,5.02,1.03,19550.96,230
8,Shreveport,03-07-2020,63.68,180.45,4.14,26.24,17.65,,0.77,26.38,38.28,64,2.88,12.13,19718.96,144
9,Bakersfield,03-09-2020,18.07,52.35,13.36,16.68,29.66,54.14,0.26,36.99,10.69,,,2.12,16585.96,95
10,Mexico,02-08-2020,93.32,242.38,2.77,13.5,10.41,12.26,0.89,9.91,15.03,3.15,0.17,0.05,6079.96,201
11,Angol,18-04-2018,32.39,84.27,2.43,26.64,,2.21,0.62,19.8,9.14,0.06,,0,1951.96,76
12,Visalia,18-03-2020,10.23,26.86,30.36,34.17,60.34,12.6,0.98,23.02,25.15,36.98,0.92,30.12,15867.96,48
13,Chico,04-07-2019,96.68,,28.22,57.39,27.82,34.71,0.29,47.66,11.39,0,,0,9658.96,245
14,LosAngeles,21-09-2016,32.91,,5.23,10.77,17.63,,0.62,9.4,10.75,4.71,0.8,0.98,19262.96,159
15,Bakersfield,09-08-2017,24.98,120.2,24.12,36.64,62.67,29.86,0.74,15.09,10.05,,,3.91,17992.96,108
16,Fresno,12-11-2017,,102.91,10.19,16.28,,8.61,0.32,9.33,61.86,,,,13838.96,153
17,Shreveport,20-10-2018,73.09,WP2,23.46,198.65,57.6,,1.17,27.17,59.56,30.46,0.66,3.09,5715.96,487
18,Visalia,26-06-2020,24.03,60.62,3.85,9.14,18.09,3.37,0.38,,5.14,12.81,1.12,3.16,2697.96,46
19,Chico,25-05-2015,80.8,,8.33,26.84,6.24,,1.32,37.94,5.84,0.58,,0.21,14802.96,156
20,NewYork,11-02-2018,52.5,129.86,20.47,43.29,62.25,7.74,1.03,30.08,10.4,4.3,13.08,9.87,8713.96,102
21,NewYork,10-04-2019,50.88,83.62,17.04,11.41,28.05,,0.65,41.88,,1.6,3.13,6.86,19172.96,75
22,Camden,25-08-2016,36.7,,6.51,9.83,,,1.16,23.16,3.77,2.32,,0.03,18820.96,81
23,Bakersfield,28-11-2017,,,,,17.4,,0,,,0,0,0,14026.96,112
